month	SGL	SGM	SGH	SML	SMM	SMH	SVL	SVM	SVH	MGL	MGM	MGH	MML	MMM	MMH	MVL	MVM	MVH	BGL	BGM	BGH	BML	BMM	BMH	BVL	BVM	BVH
1982m6	-.02082376	-.01108232	-.03109529	.00350176	-.02816008	-.03308576	-.05055868	-.04137308	-.02606363	-.03978483	-.02377595	-.03884668	-.05615088	-.02448182	-.06656454	-.09390331	-.05348315	-.07405116	-.04403928	-.03293556	-.02189462	-.03847014	-.02606806	-.03412104	-.03621225	-.03694206	-.06074418
1982m7	.01100054	.01560726	-.00563783	-.00735193	.03044254	.00585362	-.04237116	.02763956	.00415043	.04584143	.0186254	.02605978	.02467629	.0473034	.03313363	-.02237107	-.0099225	.03438859	.04073193	.05554068	.06862409	.04213794	.04978533	.02280675	.00020028	.00202645	.03380283
1982m8	-.00654318	-.00746265	.01315256	.00142179	-.00404902	.00320998	-.01525562	-.02234481	-.02410642	.02537735	-.00059924	.05557501	.0125851	.00300707	.00874125	-.00857719	-.00057782	.03965382	.03469275	.03406147	.0276305	.03427555	.04725297	.0412848	.02883346	.01949571	.0443331
1982m9	.00243662	.04374991	.0142558	.02297801	.03196102	.01057735	-.00579799	-.01937402	-.00450101	.02735235	.08863788	.07187243	-.03065874	.06974372	.04570641	-.07473084	.01671419	.03243877	.02707254	.08003413	.07471488	-.00442868	.05374566	.01085261	-.03201235	.02016869	.01414233
1982m10	.03389441	.01387518	.05051197	.01579838	.00955866	.01581061	.06411144	.0191319	.01412569	.00012007	.0120666	.06379326	.01824711	.0191668	.03387663	-.03956528	.02470291	-.00907646	.00147157	.00340602	.04417593	.00496644	-.00374175	.08278186	.01784964	.03829967	.02660069
1982m11	.07683554	.02907119	.14189499	.12616047	.04595005	.07784793	.09411873	.02311436	.05903743	.05536327	.03946038	.09895716	.0415428	-.00254488	.06275064	.01536367	.0622801	-.00380356	.00327612	.04093041	.06997771	.01135681	.0369307	.06109246	-.00026516	-.01322376	.02086961
1982m12	.09108818	.02542395	.03469486	.01633986	.02450174	-.00085397	.00893827	.02101517	.01328811	.02159765	-.01011667	-.01336391	.02510228	.01505297	.0215156	-.00285332	-.00238951	.00704932	-.00115913	.05696817	.00775161	.01593289	.01295074	-.00242099	.06980017	.0211091	.00266243
1983m1	.09253188	.03051681	.10528153	.07267194	.05450896	.04746574	.1163957	.03045954	.05417593	.01780069	.00687927	.05820432	.0054949	.02550336	.08858494	.05202835	.1081703	.04656574	.0028076	-.00658685	-.01388777	.0339581	.04188076	.02184661	.05270214	.0554014	.10173519
1983m2	.03223005	.05622066	.0260436	.01636025	.06490714	.05803539	.09128833	.05635032	.06342584	.05592075	.05707298	.05410481	.01367325	.00960053	.05642742	.03156781	.03062595	.04804355	.00178978	.07443184	.04351349	.04202275	.00299862	.04142671	.0118024	.04779126	.02024315
1983m3	.01158399	.02213656	.02091053	.02538519	.03794074	.04408161	.08052947	.06391557	.05466072	.02881589	.01441435	.06669996	.02049114	.06935087	.03008183	.08569459	.04423603	.04667591	.04503583	.02537305	-.01413157	.03729177	.04490341	.03689555	.02004416	.0780026	.0756697
1983m4	.09163363	.07101093	.03941299	.0760592	.08243948	.06434092	.119757	.10556905	.07136512	.08226921	.07056828	.04320177	.06632741	.02880787	.04366863	.02145726	.08074561	.09185159	.07847712	.05951641	.07773971	.05346903	.04168315	.09163924	.09473594	.09701978	.04746929
1983m5	-.02093186	-.00067856	-.00058972	.02077526	.02158226	.00114893	-.01162084	.00716496	-.00636149	-.01352778	.01599025	.01853807	-.02982156	-.02179072	-.00656064	-.02964134	-.00763495	-.00125636	-.01201053	-.00099037	.01232255	.00968876	-.02309772	-.00816169	.03601453	-.01688522	.02938349
1983m6	.04383416	.03818293	.01746705	.02837494	.05928178	.04162666	.03162746	.0438687	.02151654	.07139985	.02926144	.06398321	.08147906	.01782204	.0104257	.05971684	.04510127	.08108289	.0485343	.07683169	.03297368	.03434522	.07264487	.02947037	.02513375	.06029103	.05834984
1983m7	.00101076	.04243528	-.00077479	-.00028312	.0134247	.01522231	.01454849	.0270275	-.00637132	.00524175	-.01510763	-.00973506	-.00603772	-.01445039	.02100706	-.01805239	-.00098481	.032013	-.02773936	-.03674642	-.04974395	-.00009767	-.01499246	-.02473292	-.05153984	-.00159619	-.01575473
1983m8	.05973318	.02685909	.02826119	.05147553	.05301041	.0225886	.05318412	.06969234	.01538075	.02892725	-.00779738	.01900099	-.01068287	.00514367	.0201203	.01910263	.06294232	-.01545309	.00987745	-.0195897	-.01070031	.01853003	.02786529	.00502186	.03411191	.08274617	.01346555
1983m9	-.00406777	.00653117	.01328676	-.00943195	.01520706	.00143951	.04460689	.02829942	.02827441	-.0056899	-.03281994	-.00940511	.01885807	-.0188738	-.02575977	-.01017985	.01346179	-.02615928	-.00203672	-.00820359	.00763227	-.01944628	-.00926331	.00424142	.00038972	-.01518299	.00498345
1983m10	.01432962	-.03094949	.01632257	-.00861167	-.00599701	.02356959	.01192556	-.01570922	.00530585	-.04119944	-.00584588	-.00599027	-.00405851	-.01099212	-.04785879	.00483763	.04442535	-.00605732	-.03521148	-.04119136	-.01652201	-.02993169	-.01493727	-.0025079	.02594405	.02211124	.00206209
1983m11	.09448469	.03795752	.05059807	.02792284	.03659628	.0848644	.05227984	.05672137	.04789255	.04897148	.06108829	.07749638	.01004066	.05519923	.03507108	.02033665	.0850328	.07052092	.02845726	.07339269	.07925044	.06635786	.05643546	.0610105	.09707914	.07447925	.06883782
1983m12	.0332997	.01163222	.01234201	.04258231	.03559461	.02596251	.07308598	.04542317	.04821869	.05410418	.02456216	.03892772	.00432135	.03172853	.01238067	.06537983	.04886617	.05438083	.00483654	.05090465	.01037198	.05932133	.00819933	.05042599	.03979165	.04284712	.08431222
1984m1	.07666409	.0909322	.05444514	.10238415	.08883928	.0691277	.12701025	.07390112	.11567225	.06624271	.07290124	.03374082	.08412088	.07706909	.04908162	.11795074	.04240777	.07658523	.02354828	.07429613	.06835864	.05708942	.11529302	.07399248	.10118395	.09582461	.09926591
1984m2	.03066751	.02516714	.02550122	.03582223	.03616267	.04328118	.05170938	.06095405	.06978481	-.00589469	-.00077775	.01205356	.00297774	.00843589	.02296656	.03808348	.01697396	.05086378	-.00734603	-.01084037	.00908144	-.01185437	-.00618584	-.00696857	.00833061	.00924617	.00250606
