date,rm,rf,rmrf,smb,hml,umd
31jan1989,.0036696,.0004613,.00320827,-.0016308,.00090841,-.0043923
01feb1989,-.0045192,.0004603,-.0049795,.00361908,-.00676923,-.00644666
02feb1989,.0027112,.0004603,.00225093,.00262478,.00050828,-.00602776
03feb1989,.0140854,.0004599,.01362544,-.0009618,.00026414,-.0024362
06feb1989,-.0102468,.0004603,-.01070708,.00748479,-.00392056,.00039539
07feb1989,.0131095,.0004613,.01264815,-.00663474,-.00156815,.00280468
08feb1989,.0112547,.0004613,.0107934,-.00043577,.00168113,.00182565
09feb1989,-.0064208,.0004613,-.00688215,.00523801,.00368968,.00052371
10feb1989,-.0100012,.0004603,-.01046152,.00620448,.00326649,-.00411585
13feb1989,-.0102577,.0004593,-.01071695,.00314722,-.00381311,-.00126154
14feb1989,.0071449,.0004593,.00668561,-.00352879,.00087794,-.00346292
15feb1989,-.0006081,.0004596,-.00106768,.00325114,.0002309,-.00241046
16feb1989,-.0047583,.0004593,-.0052176,.00625345,-.00239602,.00406864
17feb1989,.0034957,.0004593,.00303642,-.00170061,-.00133237,-.00234219
20feb1989,.0099194,.0004579,.00946149,-.00533087,.00049292,-.00072467
21feb1989,-.0012374,.0004572,-.00169463,.00397498,.00187004,-.0057663
22feb1989,-.0113673,.0004565,-.01182387,.00857389,.00020951,.00050217
23feb1989,-.0071119,.0004562,-.00756805,.00299174,-.00072603,-.00140789
24feb1989,.0019564,.0004541,.00150222,-.00009106,-.0016652,-.00069692
27feb1989,-.0071173,.0004545,-.00757181,-.00044213,.00180147,.00253572
28feb1989,.0030767,.0004654,.00261127,-.00104758,-.00193823,-.00039479
01mar1989,.0084586,.0004637,.00799493,-.00479071,.00120138,-.00180046
02mar1989,.007933,.0004634,.00746966,-.00564896,-.00038695,.00216495
03mar1989,.0089594,.0004582,.00850116,-.00342027,-.00279581,-.00225445
06mar1989,.005812,.0004569,.00535511,-.00341421,.00378924,.00251682
07mar1989,.0050427,.0004572,.00458547,.00091367,.0037203,-.00303358
08mar1989,.0012048,.0004562,.00074859,.00264398,.0014842,-.00353196
09mar1989,-.0034272,.0004579,-.00388511,.0017577,.00163845,-.00285933
10mar1989,.0044936,.0004576,.00403607,.00011805,-.00289024,-.00247348
13mar1989,.0110012,.0004593,.01054195,-.00754984,-.00005207,.0030297
14mar1989,.009542,.0004579,.00908411,-.00374498,.00146321,-.00326063
15mar1989,-.0019083,.0004593,-.00236752,.00040985,.00279337,-.00071289
16mar1989,-.0034504,.0004586,-.00390897,.0048976,-1.384e-06,-.00462986
17mar1989,-.0174016,.0004599,-.01786155,.00848612,-.00245896,-.00386063
20mar1989,-.0090303,.0004565,-.00948684,.00457559,.00102878,-.00553698
21mar1989,.0076195,.0004572,.00716227,-.00727916,-.00541958,.00201605
22mar1989,-.0095478,.0004579,-.01000572,.00803616,-.00049191,.0014498
23mar1989,.0035937,.0004576,.00313618,-.00264132,.00374409,.00104578
28mar1989,.0059169,.0004576,.00545933,-.00414768,-.00114938,.00126317
29mar1989,.0000153,.0004548,-.00043955,-.00287006,-.00360759,.00162453
30mar1989,-.0090904,.0004558,-.0095462,.00465319,-.00489557,-.00086195
31mar1989,.0102376,.0004572,.00978038,-.00923932,-.00127252,.0018126
03apr1989,.0045633,.0004545,.0041088,-.00491307,-.00133204,-.00067571
04apr1989,.0014433,.0004545,.0009888,.00033589,.0002862,-.00349555
05apr1989,-.0027307,.0004545,-.00318519,.00075528,.00300904,-.00122023
06apr1989,-.0109223,.0004541,-.01137645,.00638629,-.00042578,.00147535
07apr1989,-.0045371,.0004528,-.00498991,-.00369511,-.00315066,.00327974
10apr1989,-.0095637,.0004541,-.01001783,.00127525,.0004625,.0044796
11apr1989,.0021215,.0004507,.0016708,-.00568762,-.00347206,-.00007017
12apr1989,.0011519,.00045,.00070188,-.00070834,-.00099841,.0023952
13apr1989,-.0019436,.00045,-.00239359,.00016915,-.00322628,.00168635
14apr1989,.0102976,.0004541,.00984341,-.00981656,-.00034906,-.00359254
17apr1989,.0022976,.0004528,.0018448,.000979,.00157326,-.00323724
18apr1989,.0088308,.000449,.00838176,-.00566638,.00251938,-.00429444
19apr1989,.0056882,.0004511,.00523717,.00073072,.0022058,.00108846
20apr1989,-.0109027,.0004517,-.01135444,.00577667,-.00001581,.00466254
21apr1989,-.0015024,.0004651,-.00196749,.00117907,-.00113135,.00175694
24apr1989,.0006142,.0004548,.00015933,.00020419,-.00046382,.00098056
25apr1989,.0043885,.0004524,.00393609,-.0012675,.00145357,-.00191708
26apr1989,.0094109,.0004538,.0089571,-.00677728,-.00192796,.00014566
27apr1989,.0090053,.0004531,.00855221,-.00677048,.00314961,.00221573
28apr1989,.001785,.0004538,.00133119,.00462818,.00015904,-.00145252
02may1989,-.005585,.0004538,-.0060388,.00537048,-.00054508,.00177676
03may1989,.0000301,.0004473,-.00041718,-.00242437,-.00253649,-.00016534
04may1989,.0062636,.00045,.00581361,-.00420565,-.0017353,-.00019936
05may1989,.0059703,.00045,.00552025,-.00250183,-.00124841,.00473304
08may1989,-.0033021,.0004435,-.00374562,.00560383,-.00022736,-.00038141
09may1989,.0019401,.0004463,.0014938,-.00241831,-.00006716,.0007104
10may1989,-.0031577,.0004507,-.00360839,.00328633,.00082149,-.00253545
11may1989,-.0024355,.0004521,-.00288761,.00146637,-.00123515,-.00106047
12may1989,.0101553,.0004476,.00970769,-.00753581,.00018692,.00267611
15may1989,.0061535,.0004473,.00570623,-.00627998,-.00157101,.00494531
16may1989,-.0050253,.0004463,-.00547162,.00384585,-.00024358,-.00130778
17may1989,.0077168,.0004473,.00726951,-.00505981,-.00273331,.00198491
18may1989,.0086572,.0004487,.00820852,-.00919603,-.00294972,.00291703
19may1989,.0117304,.0004497,.01128073,-.00439431,-.00217625,.00190017
22may1989,-.0116232,.0004528,-.01207599,.00765586,.00143664,-.00424859
23may1989,-.0073882,.0004558,-.00784404,.00172671,-.00015942,-.0025128
24may1989,-.0081038,.0004936,-.00859743,.00392642,-.00121865,.00095262
25may1989,.0024421,.0004882,.00195394,.00113085,.00179589,-.00081393
26may1989,.0030711,.0004848,.00258627,.00040592,-.00097838,.00122611
30may1989,-.0043717,.0004848,-.00485649,.00164924,-.00065553,.00447325
31may1989,-.0072147,.0004966,-.00771131,.00255691,.00161171,-.0041459
01jun1989,-.0050185,.0004956,-.0055141,.00242607,-.00050778,.00127535
02jun1989,-.0011075,.0004892,-.00159674,-.00137872,.00008917,.00827731
05jun1989,-.0041504,.0004882,-.00463856,.00328207,.00923618,-.00261298
06jun1989,.0078689,.0004899,.00737904,-.0039241,.00407,-.0069127
07jun1989,.0046576,.0004875,.00417011,-.00055074,.00299237,.00116944
08jun1989,.0096584,.0004872,.00917122,-.00711845,.00126992,.00029112
09jun1989,-.0003532,.0004868,-.00084003,.00063896,-.00182307,-.001795
12jun1989,-.0027089,.0004878,-.00319672,-.00339872,.00039805,.00080107
13jun1989,-.0073663,.0005021,-.00786835,.00112673,-.00129458,.00101085
14jun1989,.0034205,.0004926,.00292789,-.00608965,.00334704,-.0028785
15jun1989,-.0017044,.0005031,-.00220748,.00087975,.00412636,.0006747
16jun1989,.0055822,.0004946,.00508758,-.0037981,-.00036509,-.00330586
19jun1989,.0056988,.0004906,.00520829,-.00146304,-.00167177,-.00161885
20jun1989,.0047417,.0004882,.00425352,.00158344,-.00080374,-.00658317
21jun1989,.0033751,.0004858,.00288931,.00137077,-.00164745,.00009266
22jun1989,.0029997,.0004848,.00251493,-.00490626,-.0090431,.00261737
23jun1989,-.0049943,.0004872,-.00548143,.00279408,-.00118701,-.00008574
26jun1989,.0041293,.0004889,.00364041,-.00477994,-.00039847,.00255879
27jun1989,.0091546,.0004946,.00865996,-.00897431,-.00146744,.00313492
28jun1989,.0017855,.0004848,.00130072,.00268822,.00236162,.00218946
29jun1989,-.010464,.0004858,-.01094979,.00570968,.00277796,.00408662
30jun1989,-.0118529,.0004906,-.01234344,.00780836,.00241708,.00430503
03jul1989,.0075704,.0004899,.00708053,-.00149491,.00618776,-.00066204
04jul1989,.0041142,.0004916,.00362263,-.00013489,.00284097,-.00121567
05jul1989,-.0036324,.0004909,-.0041233,.00669392,.00049173,.00199594
06jul1989,.0005833,.0004912,.00009207,.00516024,-.00282318,.00216612
07jul1989,.01112,.0004899,.01063014,-.00635424,.00043978,-.00462081
10jul1989,.0025224,.0004899,.00203253,-.00008048,.00341498,.00211476
11jul1989,.0204161,.0004895,.01992654,-.01852775,.01286864,.02430013
12jul1989,.0035506,.0004895,.00306111,-.00119074,.00068619,-.00605374
13jul1989,.0003089,.0004895,-.00018066,-.00109691,-.00387603,-.00533748
14jul1989,.006288,.0004895,.00579844,-.0028819,.00343418,.00293633
17jul1989,.0031522,.0004919,.00266033,.00321924,.00079084,-.00405252
18jul1989,-.0002503,.0004922,-.00074252,.0018755,.00004138,-.00150854
19jul1989,.0086366,.0004936,.00814303,-.00099954,.0004551,.00067036
