month	SL	S2	S3	S4	SH	S2L	S22	S23	S24	S2H	M3L	M32	M33	M34	M3H	B4L	B42	B43	B44	B4H	BL	B2	B3	B4	BH
1989m1	.10988703	.11572282	.10440995	.1090519	.07009522	.12645915	.15499059	.13178111	.09988399	.07509545	.13306735	.12312437	.10439645	.17188023	.12275263	.13516893	.13822004	.14373146	.1331091	.10365918	.15541708	.15428318	.15416947	.14119625	.12258136
1989m2	.03110583	.04080256	.03279265	.05318592	.04067249	.04559791	.05601202	-.01486315	.04273454	.0340517	-.00323537	.009812	.01614362	-.00750874	.00451178	.0392021	-.00012811	.003298	-.01675646	-.0073095	-.02158483	.00397957	-.02160761	-.02459536	-.02792636
1989m3	.02342744	.01349052	.02441118	.04501305	.03217986	.02599289	.03432215	.02441628	.02411481	.0070964	.04020385	.01298178	-.00310289	.04113331	.02922243	.03096228	.02199809	.02456927	.02991095	.00155729	.06433238	.02646026	.05452709	.02525963	.01105174
1989m4	.01107108	-.00137848	.00302477	.00123542	.01744623	.0337108	-.0056536	.00280629	-.0136802	.02258797	-.00198566	-.00548699	.01330986	-.01647158	.00124759	-.01741874	.00563025	.03752377	.00876273	.00761634	.02621319	.04234901	.03007211	.01616825	.01342173
1989m5	-.00244093	-.00273645	-.00072227	-.00699053	.00790494	-.01628264	-.02280446	-.00860939	.01699905	-.02915823	.02244215	-.00416584	.04719052	-.00442166	.01035966	.00573362	.02688446	.00921408	.01078995	-.00732876	.01013344	.00738259	.00788526	-.01340272	.00168384
1989m6	-.00477515	.00322932	-.00587657	-.01449237	-.01526142	-.00395304	.01689356	-.02278878	.02572171	-.00009944	.00576233	.01041745	-.00104206	-.00850565	.01427044	-.024004	-.00056079	-.00765595	-.00772355	-.01858952	.03909486	.02787074	.03749958	.00443994	.00571077
1989m7	.03511695	.03607814	.01796933	.01870937	.02292889	.05632959	.06905106	.08446678	.03560743	.05539654	.06307785	.05156688	.0769195	.05208463	.05161757	.07425916	.07341088	.06801165	.09925767	.09164997	.09478096	.05246553	.06169862	.07100121	.07045363
1989m8	-.01702528	-.01494674	-.01077197	-.00844315	-.00214329	-.00744699	-.01801517	-.01604828	.02106149	.01883152	.03170239	-.01302727	.046808	.01203411	.01274431	.0268038	-.00002405	-.01691659	.01009008	-.00813059	.03002302	.03571452	.04213615	.04032665	.08040278
1989m9	-.02642318	-.01402426	-.02763896	-.01286361	-.01654827	-.02953933	-.02868043	-.01791602	-.00721359	-.01426664	-.01285985	-.01766615	-.01380955	.00977385	.0022975	-.04518535	-.02333391	.00149804	-.0202629	-.0132622	-.03487519	-.04767257	-.03180056	-.02253987	-.039132
1989m10	-.1396917	-.12665151	-.11274866	-.11989	-.11649119	-.07231241	-.09123158	-.13096463	-.12647503	-.10647601	-.13268705	-.09398006	-.11261574	-.11826591	-.05726233	-.1620438	-.07783628	-.10483708	-.10148613	-.09768425	-.04768165	-.07362725	-.09087821	-.05218495	-.07336788
1989m11	-.01891657	-.00450674	-.0165146	.01229497	.00221121	.0267169	.03426066	.00178236	.02412267	-.01033639	.031513	.01970033	.00103447	.02524588	.03356715	-.00278945	.03291956	.02833615	.03314986	.04856081	.07163125	.05993986	.05616222	.0556832	.06234585
1989m12	.03281458	.01110188	.0323735	.01794576	.04341176	.03894313	.04332675	.0427356	.0268602	.0174628	.03337435	.0242364	.07616871	.08555093	.00838681	.02978335	.09818841	.0803529	.05880818	.06025726	.07403082	.10390442	.04464273	.05544681	.05903151
1990m1	.00058823	-.00461205	-.01167572	.00630928	.01762852	-.00785775	.01281876	.01484672	-.00985185	-.01109239	-.02874339	-.01268665	.03239506	.00353799	-.0124707	-.02346016	-.02516778	-.04775023	-.01639824	-.02499465	-.06961838	-.028545	-.02652949	-.03025577	-.03930749
1990m2	-.05358398	-.05168365	-.02760227	-.02820989	-.02322406	-.05058046	-.03490998	-.05172938	-.04860263	-.01910084	-.02219371	-.065437	-.03282296	-.07284284	-.03125212	-.0350444	-.0719503	-.05950352	-.05227069	-.05643781	-.03362068	-.03381174	-.02623482	-.03423108	-.02879626
1990m3	-.0391359	-.04264071	-.01252645	-.04243452	-.02208266	.00052913	-.02402722	-.04895361	-.00459624	-.07046915	-.00472589	-.01679665	-.00273328	.00342219	-.0120489	-.00475232	.01913826	.01516395	.00483429	.02282191	-.00545958	-.02801389	-.01298284	.00266252	.0264607
1990m4	-.06817303	-.04153334	-.05281075	-.04440278	-.07558773	-.04987922	-.09253871	-.04308513	-.0639641	-.04908275	-.03544136	-.0671873	-.04532765	-.07007655	-.05281699	-.10278602	-.06420456	-.06011435	-.03554458	-.04492537	-.0567601	-.08755544	-.04654454	-.04397772	-.0486288
1990m5	.0523091	.04027741	.05441716	.02582227	.04038255	.098774	.04555521	.06021138	.07709641	.19140359	.03609535	.11476247	.12146961	.08179603	.05774291	.11648233	.08790674	.09090625	.1094911	.09518324	.08650117	.13993387	.14369521	.13126463	.10332277
1990m6	.02767262	.02152645	.0273853	.02424622	.0309207	-.01849453	.02672726	.03241861	.03682982	.04524817	.05289624	-.00629884	.03739234	.06077305	.03293687	.03530376	.04194919	.0416272	.01740284	.03087372	-.01872306	.03484721	.03390127	.00867994	.01805539
1990m7	-.01937336	-.04182392	.0073732	-.00861429	-.02732799	.01186336	-.05729163	.0093095	-.03947738	-.01415035	-.02180673	-.00233166	.01283572	.01305428	-.00541375	-.05546616	-.05885054	-.03705954	-.01832131	-.01380733	-.0540291	-.00186383	.00956289	-.01572699	-.03714595
1990m8	-.12686567	-.10189227	-.13086254	-.09605257	-.12886833	-.11034881	-.13554098	-.13244659	-.15261932	-.14466414	-.13775492	-.11261766	-.14084027	-.13252047	-.09207738	-.15612999	-.13062879	-.12185206	-.08294754	-.11415443	-.10392122	-.04962345	-.08250369	-.04674865	-.09972861
1990m9	-.10135547	-.09767951	-.0821217	-.09431745	-.11179615	-.05087692	-.14183416	-.09430277	-.10225178	-.0896165	-.09312907	-.07322885	-.09366989	-.14071551	-.09071366	-.0966843	-.09982301	-.12880331	-.0826923	-.09992199	-.06311466	-.06250521	-.07109227	-.08123607	-.06295297
1990m10	-.00616825	-.0024364	.01158374	-.01462835	-.03647487	.05352101	.02519517	.01092449	-.03298779	.02464469	-.00880911	.02892857	.07455696	.02553993	.00201408	.02585774	.03337114	.07033904	.02922212	.04530208	.03507201	.06445317	.04839344	.02007875	.02474857
1990m11	-.02095774	-.02794552	-.02961033	-.00705677	-.00087148	.0110244	.02131552	.01707271	.01142741	-.01670346	.03346422	.01053493	.01799422	-.00496008	.0069178	.05474154	.01747903	.05821379	.03176981	-.00213086	.02793431	.0374328	.04145587	.06014418	.02990225
1990m12	-.01563847	-.00460709	.00711171	.00361906	-.01362817	-.00190279	.03046633	.00527923	-.02970266	.00395474	-.00899077	.0016152	.03418745	.03143345	.04089621	.02746039	.00372476	.00914469	-.01091438	.02725333	-.03677147	.00983619	.00802465	-.0058141	.03125887
