month,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
1985m5,.06434803,.02935884,.02524909,.01422824,.03865271,.02514118,.04471674,.02422896,.02740108,.01651832
1985m6,-.03315525,-.04998724,-.01583717,-.03828173,-.05908853,-.04801543,-.0588379,-.06595405,-.06491051,-.0563993
1985m7,.05110164,.00040074,.00188406,-.00187914,.00009173,-.00170439,.02461596,.03743417,.01904395,.01302205
1985m8,.06802178,.04735025,.06251455,.07229893,.06394396,.07036036,.05466666,.06708439,.08532245,.07122061
1985m9,.02755802,.05443688,.02422429,.01624448,.02132684,.00810589,.0097389,-.00349899,-.01333592,-.01937055
1985m10,.06006584,.03033367,.057189,.01702199,.05450165,.05358186,.05469727,.08644471,.09872355,.06242193
1985m11,.05722422,.03793439,.00994659,.00811011,.0331507,.00484941,.02312704,.02026378,.01284252,.04680598
1985m12,.04577703,.03030477,-.00036299,-.00668474,-.02153773,-.00517201,-.00716717,-.0281366,-.02154176,-.01108608
1986m1,.05895844,.0582636,.02796451,.02325618,.01405689,.04171856,.0518782,.04032579,.02974579,.0151691
1986m2,.0989089,.10134258,.08055872,.0862531,.06174876,.06751609,.0723545,.08050773,.09223176,.08993387
1986m3,.05022336,.04082556,.0496654,.02174541,.04359075,.05129812,.06133287,.07204964,.0707074,.07891301
1986m4,.09160956,.10309328,.06816335,.04360809,.04769376,.05628985,.0436797,.07701723,.03624908,-.00120413
1986m5,.03007865,.02987391,.0077294,.0186616,.02481013,-.00955313,-.01738239,-.02300215,-.01620264,-.03004389
1986m6,.0461163,.05584796,.05024108,.05159259,.0273585,.03896385,.03922951,.02978579,.03365377,.03270387
1986m7,.03708299,.00704931,-.00287988,-.00502571,-.01711136,-.02328822,-.03656431,-.04637217,-.04685856,-.06177042
1986m8,.03562396,.01770181,.01067825,.00875506,.04448065,.01391714,.02781025,.02545938,.03548419,.0709952
1986m9,-.00712549,-.01948253,-.0196108,-.01921774,-.01890524,-.00618643,-.03011848,-.04270719,-.04034116,-.05423928
1986m10,.09258762,.04609783,.05963577,.03719144,.04286375,.03798528,.04619933,.04249939,.04341062,.05202577
1986m11,.07790891,.05816172,.04092587,.06481401,.02515862,.03977506,.04075705,.03022962,.03658156,.01709564
1986m12,.04993626,.0274018,.03098081,.0191126,.0269926,.01887379,.03445966,.01523936,.01077436,.02078583
1987m1,.08212968,.08056081,.07752203,.09141573,.08996869,.08977407,.09043056,.0947222,.09588586,.07938588
1987m2,.13060138,.1146646,.08485912,.10238949,.09792724,.10214879,.11439734,.07960012,.08730368,.10968986
1987m3,.11227117,.1230814,.09002184,.09422157,.08999671,.09980247,.04971237,.06014869,.05542326,.00961778
1987m4,.05180725,.02103149,.05388048,.04745801,.05796338,.04038479,.03499411,.03952571,.02446707,.03636468
1987m5,.13809777,.14271227,.0915653,.08469668,.09986479,.08490255,.08335382,.07445974,.06979279,.07592041
1987m6,.22355633,.21912732,.14438669,.12104964,.18586953,.11156642,.12074811,.087004,.08891471,.03677388
1987m7,.27969576,.17088971,.16286412,.13367056,.11772051,.10232893,.12811806,.07796614,.06907009,.03950014
1987m8,-.05259122,-.03798259,-.04692801,-.04626989,-.03800436,-.04206359,-.0460512,-.04793908,-.04911061,-.0369129
1987m9,.03706303,.0297978,.04568887,.04534291,.04512112,.06248783,.04385312,.05141385,.06028055,.05024198
