month,S1,S2,S3,S4,S5
1989m3,.0279336,.02232204,.01573595,.02408193,.0404438
1989m4,.00888597,.0131245,-.00116325,.00823788,.02842083
1989m5,.00200292,-.00127281,.01248325,.00891597,.01011622
1989m6,-.00711647,.00134929,.0068446,-.01051369,.02560099
1989m7,.02938024,.05798734,.05889217,.0850712,.06681819
1989m8,-.00442996,.01568513,.01870832,.00575611,.03730417
1989m9,-.01634422,-.01275073,-.01545846,-.02347511,-.03615379
1989m10,-.12370929,-.10791773,-.09886724,-.11040461,-.07036718
1989m11,-.00679427,.02211251,.02494279,.02794608,.06138147
1989m12,.02747006,.03536062,.04470363,.06666116,.06232846
1990m1,.00416631,.00137272,-.01029548,-.02860511,-.03567405
1990m2,-.03429258,-.04488869,-.04164211,-.05472553,-.02782548
1990m3,-.02918347,-.02940949,-.00319964,.00304476,.00173511
1990m4,-.05773023,-.06514594,-.04074348,-.06088158,-.05658493
1990m5,.0440974,.08916204,.07724311,.09683414,.12271165
1990m6,.03065496,.02119291,.03390376,.03448843,.01931691
1990m7,-.01082962,-.01231768,-.01024077,-.02887329,-.01787205
1990m8,-.11040972,-.13436411,-.12037121,-.12053617,-.07261331
1990m9,-.08466805,-.0883879,-.09271007,-.09555022,-.06812953
1990m10,-.00091702,.01730125,.03191946,.04251742,.03053951
1990m11,-.01712737,.00790304,.02154249,.03009057,.04425412
1990m12,-.0070017,.01128316,.01745562,.01025855,.00624265
1991m1,-.04739327,-.04404776,-.03379121,-.00885246,.01468609
1991m2,.15104913,.17369818,.17961894,.14455636,.10093232
1991m3,.10135363,.08399885,.07229291,.03985467,.03516324
1991m4,.01584023,-.00070873,-.00077125,-.00132007,.01484001
1991m5,-.01094892,-.02456524,-.02495129,-.01775468,.01152084
1991m6,-.03466863,-.03175629,-.04493094,-.01601836,-.02707959
1991m7,.00861607,.02843255,.02650447,.06896882,.07671005
1991m8,.03359013,.05295048,.0592746,.04080573,.02388339
1991m9,.07041633,.05881512,.0251746,.01301943,.00140719
1991m10,-.01705478,-.00363194,-.01907802,-.02132207,-.01634961
1991m11,-.01844968,-.02962614,-.04773598,-.06921284,-.04332578
1991m12,-.04022323,-.04656673,-.03386617,.00034047,.03384005
1992m1,.01460692,.05219857,.0677629,.043992,.04051543
1992m2,.01102799,.00747857,.016691,.02651476,.00052933
1992m3,-.04017158,-.0448407,-.04836056,-.04242372,-.04081551
1992m4,.0909423,.10709543,.13640168,.14913181,.08777874
1992m5,.06179867,.04007902,.03484225,.02209645,.015403
1992m6,-.06417903,-.07587665,-.07319154,-.06787254,-.06905674
