month,S1,S2,S3,S4,S5
1989m3,.03192508,.02265266,.02123191,.02703285,.0305687
1989m4,.01456708,.01348403,-.00294193,.00953779,.02884544
1989m5,.01166464,-.00539759,.00831015,.00899686,.0142159
1989m6,-.00409493,.00055119,.00421582,-.00807846,.01852625
1989m7,.02444718,.05717419,.05271314,.08533552,.06602834
1989m8,-.01118943,.00757614,.01042166,.00423703,.02532612
1989m9,-.02111413,-.01520823,-.01455217,-.02239967,-.03454086
1989m10,-.1197727,-.10949559,-.09809031,-.11153572,-.0770365
1989m11,-.01278024,.02273872,.02349803,.02964515,.05160902
1989m12,.02219189,.035444,.0427477,.06651249,.0539534
1990m1,.007823,.00286026,-.01152657,-.02756508,-.03616796
1990m2,-.04072448,-.04670601,-.04357486,-.05512646,-.03804034
1990m3,-.03702052,-.02765758,-.00426498,.0074305,-.00186636
1990m4,-.05317083,-.0660213,-.05074312,-.06500985,-.04571211
1990m5,.02795191,.09002231,.07709953,.10219806,.1275843
1990m6,.01341547,.02282945,.0301358,.0331588,.01830672
1990m7,-.01789821,-.01214037,-.00733693,-.03313477,-.01780171
1990m8,-.10358962,-.1345564,-.11895293,-.12502801,-.09559581
1990m9,-.09759891,-.09864714,-.09883422,-.10463237,-.08371738
1990m10,-.01166077,.01598206,.0315084,.03782438,.03941566
1990m11,-.03074558,.00553806,.02324156,.03651994,.04115694
1990m12,-.01241728,.00504333,.01659077,.01115729,.01297953
1991m1,-.05099804,-.04421779,-.03903147,-.01538464,.0073026
1991m2,.1473026,.19135268,.17674935,.14685789,.11579621
1991m3,.11022959,.09172469,.07779866,.04223107,.02376474
1991m4,.01301061,-.00523101,.00138334,-.00137034,.01479338
1991m5,-.02660228,-.02932404,-.03135303,-.02172816,-.00718605
1991m6,-.04059954,-.03658598,-.0446183,-.02299097,-.02951619
1991m7,.00463267,.01995835,.02127319,.05893606,.07179958
1991m8,.02637713,.05473877,.05782741,.03344439,.02551733
1991m9,.07380243,.06598725,.0185989,.01320192,-.00875087
1991m10,-.01389307,-.00067383,-.01730014,-.02255828,-.02374751
1991m11,-.01220699,-.03253663,-.0516988,-.06775517,-.05682687
1991m12,-.03383618,-.05080831,-.04052084,.00133527,.01389773
1992m1,.01165862,.06041617,.07244354,.04298801,.05232211
1992m2,.0083349,.00484707,.01219159,.02415837,-3.981e-06
1992m3,-.04990202,-.04803685,-.05129984,-.04234424,-.0493692
1992m4,.10376058,.11506804,.14039713,.15606339,.13103409
1992m5,.07836269,.04705328,.02515492,.02270492,.00074275
1992m6,-.06174757,-.0842372,-.08506542,-.07161102,-.06953659
1992m7,-.10175887,-.11037709,-.12785623,-.09885681,-.08147259
1992m8,-.05986501,-.07834318,-.05330334,-.04991886,-.04040428
1992m9,.01388601,.08126947,.10071355,.0757569,.10852005
1992m10,-.00211742,.02076884,.04828287,.06363089,.03356986
1992m11,.05165849,.03330822,.05731047,.05020358,.04215541
1992m12,.08936759,.10784239,.09855889,.09615854,.04559033
1993m1,.10446606,.05396318,.05046065,.02914652,-.00559889
1993m2,.05658741,.01933532,.02458756,.02861278,.02692154
1993m3,.04313993,.03066435,.03921353,.0251681,.01289973
1993m4,.05076097,.04324018,.01342994,.02420877,-.01141469
1993m5,.05798847,.01059455,.01360601,.00153332,.00367184
1993m6,.0277949,.0195139,.02923927,.02304171,.02411677
1993m7,.0074418,.00572288,.00612553,.04307636,.0175675
1993m8,.08915454,.07452377,.06420091,.06760666,.06992893
1993m9,.0118271,-.00838411,-.02985755,-.02107203,-.03030491
1993m10,.02751357,.01569098,.01885903,.02832309,.0345821
1993m11,-.00443929,-.03738044,-.01814465,-.00506562,.00691972
1993m12,.0553747,.04835775,.07616272,.09229959,.0766252
1994m1,.12943588,.11623515,.11021029,.0748918,.04359199
1994m2,.01865529,-.00444284,-.00787976,-.04056354,-.03565758
1994m3,-.0430798,-.0677507,-.06589713,-.03741811,-.05219209
1994m4,.02933607,.01663763,.01542934,.00835716,.0156645
1994m5,-.00863999,-.04416602,-.04292849,-.05508342,-.05260145
1994m6,-.04107594,-.05358771,-.04706499,-.0165435,-.01716143
1994m7,.01569085,.04243231,.04785186,.08001766,.06864675
1994m8,.04285192,.03779406,.02431577,.06862139,.0578544
1994m9,-.01937663,-.05784797,-.06408703,-.08533819,-.07564824
1994m10,-.02071115,-.01905962,.00355103,.0180198,.01543711
1994m11,-.00777448,-.01393533,.00498428,.00342133,.00324498
1994m12,-.00134323,-.00887372,-.00946801,.01070182,-.00302562
1995m1,-.01008291,-.0204478,-.02167188,-.02985755,-.02545437
1995m2,-.02070964,-.02803229,-.00377295,.00274158,.00676235
1995m3,.00180056,.04396932,.0584789,.02349504,.03508899
1995m4,.02688879,.03163851,.02052172,.03516411,.0288754
1995m5,.05733521,.05243719,.02940495,.05755123,.03780188
1995m6,-.00507573,-.0128978,-.01904618,-.00956063,-.00272424
1995m7,.03943424,.05045404,.06280164,.08263249,.06272119
1995m8,.03812967,.0156472,.01245337,.02602468,.00795423
1995m9,.00787791,.01694639,.00759207,-.00143462,.0012004
1995m10,-.00511105,-.00200997,-.01461305,-.01805741,-.00482984
1995m11,.0187193,.00359813,.01347496,.01832438,.01911976
1995m12,.00772096,.01020045,.01239762,.02255714,.01943518
1996m1,.02097723,.04990038,.04026396,.01292981,.02789625
1996m2,.02226918,.02701155,.01968832,.02798124,.00161832
1996m3,.02984235,.02819273,.04082335,.02350597,.01760319
1996m4,.07669341,.06986107,.07072741,.05322273,.04338486
1996m5,.02775398,-.01693285,-.01231584,-.01251203,-.01895713
1996m6,-.01622071,-.00605358,-.02248935,-.02332676,-.01069581
1996m7,-.02569135,-.04475316,-.03922713,-.01137759,-.01068599
1996m8,.02644468,.05009725,.04162878,.0407215,.0456758
1996m9,.01459743,-.01390133,.00631802,.00070067,.01482853
1996m10,.00140374,.02062654,.01782124,.00403014,.00246304
1996m11,-.00259171,-.00052773,-.00175266,-.00026515,.02138789
1996m12,.01016197,.01424193,.00855043,.0190629,.01935517
1997m1,.06246552,.05009984,.04066436,.00994904,.00679071
1997m2,.02968346,.01929154,.00445065,.00255384,.00843098
1997m3,-.00954889,-.00478981,-.0092983,-.00727763,.01075764
1997m4,.00833872,.00615239,-.01217446,-.01706637,.00498611
1997m5,-.01098736,-.00773063,-.00674283,-.00036279,.03318395
1997m6,-.01678506,-.01843132,-.01233021,-.0061178,-.00599248
1997m7,-.0101423,-.01261404,-.00888817,.01461373,.05627439
1997m8,.03218432,.06106898,.03551287,.02721174,.00721214
